영통역,경기도 수원시 영통구 봉영로 지하 1560,,,,,,,,,,,,,
망포역,경기도 수원시 영통구 봉영로 지하 1520,,,,,,,,,,,,,
매탄권선역,경기도 수원시 권선구 권선동 1308번지,,,,,,,,,,,,,
수원시청역,경기도 수원시 권선구 권선동 1122,,,,,,,,,,,,,
매교역,경기도 수원시 팔달구 매교동 173-22,,,,,,,,,,,,,
신내역,서울시 중랑구 망우동 320,,,,,,,,,,,,,
갈매역,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18),,,,,,,,,,,,,
별내역,경기도 남양주시 별내동 182-5,,,,,,,,,,,,,
퇴계원역,경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8),,,,,,,,,,,,,
사릉역,경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2),,,,,,,,,,,,,
금곡역,경기도 남양주시 경춘로 903(금곡동 404-276),,,,,,,,,,,,,
평내호평역,경기도 남양주시 경춘로 1375(평내동 156),,,,,,,,,,,,,
천마산역,경기도 남양주시 화도읍 묵현리 320-25,,,,,,,,,,,,,
마석역,경기도 남양주시 화도읍 마석중앙로 83-14(마석우리 222-2),,,,,,,,,,,,,
대성리역,경기도 가평군 청평면 경춘로 88(대성리 393),,,,,,,,,,,,,
청평역,경기도 가평군 청평면 청평역로 97-33(청평리 125-1),,,,,,,,,,,,,
상천역,경기도 가평군 청평면 상천역로 29(상천리 1261),,,,,,,,,,,,,
가평역,경기도 가평군 가평읍 문화로 13-42(달전리 567),,,,,,,,,,,,,
굴봉산역,강원도 춘천시 남산면 서백길 192(백양리 588-30),,,,,,,,,,,,,
백양리역,강원도 춘천시 남산면 북한강변길 690(강촌리 680-7),,,,,,,,,,,,,
강촌역,강원도 춘춘시 남산면 강촌로 150(방곡리 409),,,,,,,,,,,,,
김유정역,강원도 춘천시 신동면 김유정로 1435(신동면 증리 859-3),,,,,,,,,,,,,
남춘천역,강원도 춘천시 영서로 2260(퇴계동 633-2),,,,,,,,,,,,,
춘천역,강원도 춘천시 평화로 1(근화동 190),,,,,,,,,,,,,
판교역,경기도 성남시 분당구 백현동 19-2,,,,,,,,,,,,,
삼동역,경기도 광주시 중대동 304,,,,,,,,,,,,,
경기광주역,경기도 광주시 역동 176-13,,,,,,,,,,,,,
초월역,경기도 광주시 초월읍 쌍동리 213-15,,,,,,,,,,,,,
곤지암역,경기도 광주시 곤지암읍 곤지암리 353-1,,,,,,,,,,,,,
신둔도예촌역,경기도 이천시 신둔면 남정리 375-4,,,,,,,,,,,,,
수원역,경기도 수원시 팔달구 덕영대로 924,,,,,,,,,,,,,
세류역,경기도 수원시 권선구 정조로 387,,,,,,,,,,,,,
병점역,경기도 화성시 떡전골로 97,,,,,,,,,,,,,
서동탄역,경기도 오산시 외삼미로 15번길 75-60,,,,,,,,,,,,,
세마역,경기도 오산시 세마역로 88,,,,,,,,,,,,,
오산대역,경기도 오산시 청학로 236,,,,,,,,,,,,,
오산역,경기도 오산시 오산동 역광장로 59,,,,,,,,,,,,,
진위역,경기도 평택시 경기대로 1855,,,,,,,,,,,,,
송탄역,경기도 평택시 신장동 송탄공원로 43,,,,,,,,,,,,,
지제역,경기도 평택시 경기대로 777,,,,,,,,,,,,,
서정리역,경기도 평택시 탄현로 51,,,,,,,,,,,,,
평택역,경기도 평택시 평택로 51,,,,,,,,,,,,,
구일역,서울시 구로구 구일로 133,,,,,,,,,,,,,
개봉역,서울시 구로구 경인로 40길 47,,,,,,,,,,,,,
오류동역,서울시 구로구 경인로 20길 13,,,,,,,,,,,,,
온수역,서울시 구로구 부일로 872,,,,,,,,,,,,,
역곡역,경기도 부천시 원미구 역곡로 1(역곡동),,,,,,,,,,,,,
소사역,경기도 부천시 소사구 경인로 363,,,,,,,,,,,,,
부천역,경기도 부천시 소사구 부천로 1,,,,,,,,,,,,,
중동역,경기도 부천시 소사구 중동로 73,,,,,,,,,,,,,
송내역,경기도 부천시 소사구 송내대로 43,,,,,,,,,,,,,
부개역,인천시 부평구 수변로 22,,,,,,,,,,,,,
부평역,인천시 부평구 광장로 16,,,,,,,,,,,,,
백운역,인천시 부평구 마장로 55번길 14,,,,,,,,,,,,,
동암역,인천시 부평구 동암광장로 10,,,,,,,,,,,,,
간석역,인천시 남동구 석정로 522-14,,,,,,,,,,,,,
주안역,인천시 남구 주안로 95-19,,,,,,,,,,,,,
도화역,인천시 남구 숙골로 24번길 9,,,,,,,,,,,,,
명학역,경기도 안양시 만안구 만안로 20,,,,,,,,,,,,,
제물포역,인천시 남구 경인로 129,,,,,,,,,,,,,
도원역,인천시 동구 참외전로 245,,,,,,,,,,,,,
동인천역,인천시 중구 참외전로 119,,,,,,,,,,,,,
인천역,인천시 중구 제물량로 269,,,,,,,,,,,,,
선바위역,경기도 과천시 중앙로 440,,,,,,,,,,,,,
경마공원역,경기도 과천시 경마공원대로 105,,,,,,,,,,,,,
대공원역,경기도 과천시 대공원로 50,,,,,,,,,,,,,
과천역,경기도 과천시 별양로 지하 177,,,,,,,,,,,,,
정부과천청사역,경기도 과천시 중앙로 지하 100,,,,,,,,,,,,,
이천역,경기도 이천시 율현동 435,,,,,,,,,,,,,
부발역,경기도 이천시 부발읍 아미리 505-7,,,,,,,,,,,,,
세종대왕릉역,경기도 여주시 능서면 신지리 275,,,,,,,,,,,,,
여주역,경기도 여주시 교동 403-1,,,,,,,,,,,,,
성환역,충남 천안시 서북구 성환읍 성롼1로 237-5(성환리 449-128),,,,,,,,,,,,,
직산역,충남 천안시 서북구 직산읍 천안대로 1471-33,,,,,,,,,,,,,
두정역,충남 천안시 서북구 두정로 289(두정동 84-1),,,,,,,,,,,,,
천안역,충남 천안시 동남구 대흥로 239(대흥동 57-1),,,,,,,,,,,,,
봉명역,충남 천안시 동남구 차돌로 51(봉명동 20-2),,,,,,,,,,,,,
쌍용(나사렛대)역,충청남도 천안시 서북구 쌍용2동 426-3,,,,,,,,,,,,,
아산역,충남 아산시 배방읍 희망로 90(장재리 325-3),,,,,,,,,,,,,
배방역,충남 아산시 배방읍 온천대로 1967,,,,,,,,,,,,,
온양온천역,충남 아산시 온천대로 1496(온천동 56-9),,,,,,,,,,,,,
신창(순천향대)역,충남 아산시 신창면 행목로 50,,,,,,,,,,,,,
부전역,부산광역시 부산진구 부전동 280-76,,,,,,,,,,,,,
거제해맞이역,부산광역시 연제구 거제동 619-1,,,,,,,,,,,,,
거제역,부산광역시 연제구 거제동 619-1,,,,,,,,,,,,,
교대역,부산광역시 연제구 거제동 42-3,,,,,,,,,,,,,
동래역,부산광역시 동래구 낙민동 130-4,,,,,,,,,,,,,
안락역,부산광역시 동래구 안락동 201-2,,,,,,,,,,,,,
재송역,부산광역시 해운대구 재송동 933-1,,,,,,,,,,,,,
센텀역,부산광역시 해운대구 우동 1215-32,,,,,,,,,,,,,
벡스코역,부산광역시 해운대구 우동 1111-2,,,,,,,,,,,,,
신해운대역,부산광역시 해운대구 좌동 138-4,,,,,,,,,,,,,
송정역,부산광역시 해운대구 송정동 299-2,,,,,,,,,,,,,
오시리아역,부산광역시 기장군 기장읍 당사리 261,,,,,,,,,,,,,
기장역,부산광역시 기장군 기장읍 청강리 25-16,,,,,,,,,,,,,
일광역,부산광역시 기장군 일광면 이천리 750-4,,,,,,,,,,,,,
광명역,경기도 광명시 광명역로 21,,,,,,,,,,,,,
석수역,경기도 안양시 만안구 경수대로 1431,,,,,,,,,,,,,
관악역,경기도 안양시 만안구 경수대로 1273번길 46,,,,,,,,,,,,,
안양역,경기도 안양시 만안구 만안로 232,,,,,,,,,,,,,
운정역,경기도 파주시 운정역길 368(야당동 299-4번지),,,,,,,,,,,,,
금릉역,경기도 파주시 금촌동 금릉로 129,,,,,,,,,,,,,
금촌역,경기도 파주시 새꽃로 193,,,,,,,,,,,,,
월롱역,경기도 파주시 월롱면 통일로 980,,,,,,,,,,,,,
파주역,경기도 파주시 파주읍 주라위길 38,,,,,,,,,,,,,
문산역,경기도 파주시 문산읍 문산역로 94,,,,,,,,,,,,,
남영역,서울시 용산구 한강대로 77길 25(갈월동),,,,,,,,,,,,,
용산역,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),,,,,,,,,,,,,
지축역,경기도 고양시 덕양구 삼송로 300(지축동),,,,,,,,,,,,,
삼송역,경기도 고양시 덕양구 삼송로 205번길(삼송동 20-14),,,,,,,,,,,,,
